State,Population,Election
Alabama,5024279,Trump
Alaska,733391,Trump
Arizona,7151502,Biden
Arkansas,3011524,Trump
California,39538223,Biden
Colorado,5773714,Biden
Connecticut,3605944,Biden
Delaware,989948,Biden
District of Columbia,689545,Biden
Florida,21538187,Trump
Georgia,10711908,Biden
Hawaii,1455271,Biden
Idaho,1839106,Trump
Illinois,12812508,Biden
Indiana,6785528,Trump
Iowa,3190369,Trump
Kansas,2937880,Trump
Kentucky,4505836,Trump
Louisiana,4657757,Trump
Maine,1362359,Biden
Maryland,6177224,Biden
Massachusetts,7029917,Biden
Michigan,10077331,Biden
Minnesota,5706494,Biden
Mississippi,2961279,Trump
Missouri,6154913,Trump
Montana,1084225,Trump
Nebraska,1961504,Trump
Nevada,3104614,Biden
New Hampshire,1377529,Biden
New Jersey,9288994,Biden
New Mexico,2117522,Biden
New York,20201249,Biden
North Carolina,10439388,Trump
North Dakota,779094,Trump
Ohio,11799448,Trump
Oklahoma,3959353,Trump
Oregon,4237256,Biden
Pennsylvania,13002700,Biden
Rhode Island,1097379,Biden
South Carolina,5118425,Trump
South Dakota,886667,Trump
Tennessee,6910840,Trump
Texas,29145505,Trump
Utah,3271616,Trump
Vermont,643077,Biden
Virginia,8631393,Biden
Washington,7705281,Biden
West Virginia,1793716,Trump
Wisconsin,5893718,Biden
Wyoming,576851,Trump
Puerto Rico,3285874,NA
